title,text,subject,date
No indication Russia wants positive relationship with U.S.: Mattis,"WASHINGTON (Reuters) - U.S. Defense Secretary Jim Mattis said on Monday there was no indication that Russia wanted a positive relationship with the United States, saying it had chosen to be a strategic competitor. “At this time ... I do not see any indication that Mr. Putin would want a positive relationship with us. That is not to say we can’t get there as we look for common ground,” Mattis told a House Armed Services Committee hearing, referring to Russian President Vladimir Putin. “But at this point, he has chosen to be competitive, a strategic competitor with us and we will have to deal with that as we see it,” he said. Joseph Dunford, chairman of the U.S. Joint Chiefs of Staff, added that the United States had an adversarial relationship with Russia. Russia and the United States have a number of diverging interests, including in Syria. Russia said on Saturday it had told the United States it was unacceptable for Washington to strike pro-government forces in Syria after the U.S. military carried out air strikes on pro-Syrian government militia. U.S. senators said on Monday they were close to an agreement on legislation imposing new sanctions on Russia, including a possible provision that would prevent the White House from easing sanctions without congressional approval. Democrats and Republicans on the Foreign Relations and Banking Committees have been negotiating for about a week on an amendment to an Iran sanctions bill that also would impose sanctions to punish Russia over issues including its alleged meddling in the 2016 U.S. election, annexation of Ukraine’s Crimea region and support for the government of Syria in that country’s six-year-long civil war. ",politicsNews,"June 13, 2017 "
Congress heads into break with Republican promises unfulfilled,"WASHINGTON (Reuters) - A five-week summer break might sound sweet to many people, but maybe not to the 292 Republicans in Congress who leave Washington with none of their major legislative goals achieved after six months in power alongside President Donald Trump. With Congress due to be closed until Sept. 5, voters may ask: What happened to repealing and replacing Obamacare? Overhauling the tax code? Investing more money in job-creating infrastructure projects? The awkward answer for Republican lawmakers and Trump is “not much.” Despite having control of the White House, the Senate and the House of Representatives since the November 2016 elections, Republicans have not delivered on their biggest campaign promises. Distracted by a probe of possible ties between his campaign and Russian meddling in the election, among many other issues he tweets about, Trump has yet to propose any major legislation since his Jan. 20 inauguration. Some Republicans fear voters will punish their party in the November 2018 elections for inaction now, and that congressional losses would make it even harder for Trump to get things done in 2019-2020, the second half of his four-year term. Republicans’ failure to repeal Obamacare “is going to be difficult to explain to the (Republican) base,” former Senate Majority Tom Daschle, a Democrat, said in a recent interview.   There are some achievements for Republicans to point to, including the Senate confirmation in April of Trump’s nominee to the Supreme Court, conservative judge Neil Gorsuch. This week, congressional Democrats and Republicans also pressured Trump into enacting a Russia-Iran-North Korea sanctions bill. Lawmakers also managed to pass bills to improve veterans’ healthcare and renew a Food and Drug Administration funding stream for reviewing drug safety. The Senate confirmed a new FBI director and Congress also repealed 14 Obama-era regulations. But as Senator Tim Scott of South Carolina told reporters, he and his fellow Republicans “lack traction” on major legislation. “We have not done well on the big events.” When Congress returns in early September, Republicans want to focus on taxes. But a comprehensive tax reform initiative remains under wraps amid deep divisions in the party. There has been no movement on legislation to finance the rebuilding of roads, bridges, airports and other infrastructure. Democratic Senator Heidi Heitkamp of North Dakota, who faces a possible tough re-election next year, said Trump remains popular among voters in her state, which he carried by 36 points in November. “They’re grateful for the rollback of what we all considered onerous regulations against industry; onerous overreach by EPA (Environmental Protection Agency),” Heitkamp said of the regulations then-President Barack Obama imposed before leaving office, which Trump and Congress nullified. Republicans want to pass a budget blueprint for the fiscal year beginning on Oct. 1, an action that was supposed to have been taken care of long before the summer recess. Without the measure, Republican legislation rewriting the U.S. tax code might not advance. There are serious disagreements among Republicans about long-term spending levels, however. Also ominous are the party’s rifts over funding the government near-term and avoiding Oct. 1 federal agency shutdowns. And there is the problem of raising Washington’s borrowing limit. Failure could trigger a historic U.S. default. Those and other issues will be taken up next month. But in the run-up to the summer break the Senate did manage to close ranks and unanimously pass a resolution proclaiming Sept. 25 as National Lobster Day. ",politicsNews,"August 3, 2017 "
Factbox: Trump on Twitter (Nov 27) - Networks,"The following statements were posted to the verified Twitter accounts of U.S. President Donald Trump, @realDonaldTrump and @POTUS.  The opinions expressed are his own. Reuters has not edited the statements or confirmed their accuracy.  @realDonaldTrump : - We should have a contest as to which of the Networks, plus CNN and not including Fox, is the most dishonest, corrupt and/or distorted in its political coverage of your favorite President (me). They are all bad. Winner to receive the FAKE NEWS TROPHY! [0905 EST] -- Source link: (bit.ly/2jBh4LU) (bit.ly/2jpEXYR) ",politicsNews,"November 27, 2017 "
"Tillerson stresses cooperation in calls with Australia, Japan, South Korea","WASHINGTON (Reuters) - U.S. Secretary of State Rex Tillerson has underscored Washington’s intent to strengthen ties with Australia, Japan and South Korea, the State Department said on Tuesday, a move aimed at reassuring allies unnerved by the campaign rhetoric of new  President Donald Trump. In separate calls with counterparts from the three long-time allies, they agreed to work closely to tackle threats from North Korea’s nuclear ambitions and increased tensions in the East and South China seas, State Department spokesman Mark Toner said, “Secretary Tillerson reiterated the Administration’s intent to strengthen our military alliances, our economic partnerships, and our diplomatic cooperation,” he said in a statement. Tillerson expressed interest in early meetings with his counterparts “and expressed his deep respect for their nations’ contributions to regional security, global prosperity, democratic institutions, and the rule of law,” it said. The calls come at a time of raised concerns in the Asia-Pacific about Trump’s attitude to the region. During his election campaign, Trump appeared to question  U.S. alliances with Tokyo and Seoul and complained that they were not sharing enough of the cost of the U.S. security umbrella. Trump has also criticized Japan’s trade policies as damaging to U.S. jobs. More recently ties with Australia were strained after details of an acrimonious phone call between Trump and Australian Prime Minister Malcolm Turnbull emerged and the former described a deal between the two nations on refugee resettlement as “dumb.” Japanese Prime Minister Shinzo Abe is due to visit Washington for a two-day summit with Trump from Friday that is expected to focus on security ties in the face of a rising China and trade. Earlier on Tuesday, Japan’s Kyodo news agency quoted Japanese Foreign Minister Fumio Kishida as saying that Tillerson had confirmed that a long-standing commitment by Washington to defend Japanese territory applies to the Senkakus, a group of small islands that China claims and calls the Diaoyus. The State Department declined to comment on the Kyodo report but U.S. Defense Secretary Jim Mattis reaffirmed America’s commitment to its mutual defense treaty with Japan on Friday when he met Abe in Tokyo and in a call with Abe in late January. Trump said the U.S. security commitment was “ironclad. Turnbull’s leadership was questioned after he was berated by  Trump and an opinion poll published on Monday showed support for his coalition had slipped to its lowest level since he took power 17 months ago and that his Liberal-National coalition would easily fall if an election were held now. ",politicsNews,"February 7, 2017 "
Indonesia court rejects petition to bar consensual sex outside marriage,"JAKARTA (Reuters) - Indonesia s constitutional court on Thursday narrowly rejected a petition by a conservative group to make extramarital sex illegal, but rights activists braced for a renewal of the battle in parliament and other state institutions.  Five of nine judges voted for the case to be thrown out, in a slim victory for rights activists who had feared the petition would spur moral policing and further discrimination against the gay community in the world s largest Muslim-majority country.       Most Indonesians adhere to a moderate form of Islam under an officially secular system, but there has been rise of a hardline, politicized Islam in recent years, which until recently had stayed on the fringe of the nation s politics. Constitutional court chief justice Arief Hidayat said existing laws on adultery did not conflict with the constitution and it was not the court s authority to create new policies. The judge said the question could be put to parliament, which is currently deliberating revisions to the national criminal code.  The plaintiff should submit their petition to lawmakers, and there it should be an important input in the ongoing revision of the national criminal code,  Hidayat said, as he read a summary of the 600-page ruling.  Based on that view, the constitutional court is of the opinion that the petition is not legally sound.    Rights activists were comforted by the court s decision, while expecting more challenges to come.  The decision is a relief because it shows it s possible to challenge the creeping conservatism in society,  said Dede Oetomo, a prominent gay rights activist.  But it s not over. There s parliament, there are other state institutions, they can turn to education, social organisations,  he added. The Family Love Alliance (AILA), a group of conservative academics and activists which put forward the petition, said it would not give up its fight.  Aside from legal avenues, we can also go through government policy and programs so that sexual deviance is minimised and is an agenda for all of us,  Euis Sunarti, a member of AILA, told reporters after the ruling. AILA s petition had called for the definition of adultery to apply not just to married couples but to anyone in a marriage or outside it - effectively making all sex outside of marriage a crime. In their complaint, AILA said certain articles in the national criminal code  threaten the resilience of families and therefore of Indonesia itself.         Some rights activists said the petition was partly aimed at criminalizing gay sex, which is currently not regulated by the law except in the ultra-conservative province of Aceh and in cases of child abuse. Activists say such changes to the law would make it vulnerable to abuse, like the country s draconian anti-pornography laws, to target the LGBT community. Islamic parties pushed the anti-pornography laws in parliament soon after Indonesia ushered in its democratic era in 1998 and actively push an anti-LGBT agenda today. ",worldnews,"December 14, 2017 "
Women march through desert for Israeli-Palestinian peace,"JORDAN RIVER, West Bank (Reuters) - Thousands of Israeli and Palestinian women trekked through a biblical desert landscape on Sunday, converging on the shores of the Jordan River in a march for peace. The women, many of them dressed in white, descended through  the arid hills leading to the river, where they erected a  peace tent  named for Hagar and Sarah, scriptural mothers of Ishmael and Isaac, the half-brother patriarchs of Muslims and Jews.  We are women from the right, the left, Jews and Arabs, from the cities and the periphery and we have decided that we will stop the next war,  said Marilyn Smadja, one of the founders of the organizing group, Women Wage Peace. The organization was established after the 50-day Gaza war of 2014 when more than 2,100 Palestinians, mostly civilians, were killed. Israel put the number of its dead at 67 soldiers and six civilians. Some 5,000 women participated in Sunday s march, organizers said. It began last month at several locations across Israel and will culminate in a rally later in the day outside the Jerusalem residence of Prime Minister Benjamin Netanyahu. ",worldnews,"October 8, 2017 "
Mayors of NY and Los Angeles pledge to remain immigrant sanctuaries,"LOS ANGELES/NEW YORK (Reuters) - Officials in New York and Los Angeles on Thursday said they hoped President-elect Donald Trump would not follow through on a campaign promise to withhold federal funds from “sanctuary cities” that shield people who are in the country illegally. The nation’s two largest cities have sharply limited their cooperation with U.S. immigration authorities seeking to deport undocumented immigrants. President Barack Obama’s administration has used so-called detainer requests to target undocumented immigrants convicted of criminal acts, especially violent ones. New York and Los Angeles do not hold undocumented inmates in jail at the request of the U.S. Department of Immigration and Customs Enforcement (ICE) unless the detainer request is accompanied by a judge’s order, officials said. Trump said during a debate with Democratic presidential nominee Hillary Clinton in October he would seek to deport major drug dealers. “We have some bad hombres here and we’re going to get them out,” he said.  Trump early in his campaign pledged to deport all 11 million undocumented immigrants in the United States and also threatened to withhold federal funds from sanctuary cities. New York Mayor Bill de Blasio said at a news conference on Thursday that New York would continue to defend undocumented immigrants. “We are not going to sacrifice a half million people who live among us, who are part of our community,” de Blasio said, referring to an estimate of the number of unauthorized immigrants living in New York. “We are not going to tear families apart.”  De Blasio said Trump’s threat to withhold funds from sanctuary cities was “dangerous,” but it was too soon to tell whether the president-elect intended to follow through on all his proposals. A spokeswoman for Trump did not return emails or a call. In Los Angeles, a spokeswoman for Mayor Eric Garcetti also voiced hopes over how Trump would proceed on the issue. “We comply with federal immigration agencies, but insist that detainer requests be handled constitutionally,” Connie Llanos, the spokeswoman, said in an email.  “It is Mayor Garcetti’s sincere hope that no president would violate those principles, the very foundation of our nation, by taking punitive action on cities that are simply protecting the well being of residents.”  California is one of five states that limit compliance with ICE detainer requests and similar policies are in place at 37 cities nationwide, according to the Immigrant Legal Resource Center. Last month, a federal judge in Illinois found the ICE detainer requests were unconstitutional, but the ruling did not apply nationwide. ",politicsNews,"November 11, 2016 "
Proposed cuts to State Dept. budget worry House Foreign Affairs chair,"WASHINGTON (Reuters) - The Republican head of the Foreign Affairs Committee in the U.S. House of Representatives said on Thursday he was worried about the Trump administration’s proposal to deeply cut the State Department budget for the 2018 fiscal year. “I am very concerned that deep cuts to our diplomacy will hurt efforts to combat terrorism, distribute critical humanitarian aid, and promote opportunities for American workers,” Foreign Affairs Chairman Ed Royce said in a statement. He noted that the cuts come as the United States is fighting Islamic State militants in Iraq and Syria and millions of people are at risk of starvation around the world.   ",politicsNews,"March 16, 2017 "
The Trump presidency on Feb. 17 at 3:49 p.m. EST/2049 GMT,"(Reuters) - Highlights of the day for U.S. President Donald Trump’s administration on Friday: Trump tweets that he is considering four people, including retired General Keith Kellogg, to serve as national security adviser after being turned down by his first choice to replace ousted Michael Flynn. Trump’s defense secretary, Jim Mattis warns of an “arc of instability” on Europe’s periphery and calls on NATO allies to contribute their fair share to their collective defense.  Vice President Mike Pence will speak at the Munich Security Conference on Saturday, seeking to soothe allies unnerved by Trump’s statements on Russia and NATO while stressing U.S. commitment to Europe. Republican Senator John McCain breaks with the reassuring message that U.S. officials visiting Germany are seeking to convey on their debut trip to Europe, saying the Trump administration is in disarray.  Trump promises to boost U.S. manufacturing and punish companies for moving jobs overseas during a visit to a South Carolina Boeing Co plant to celebrate the unveiling of its latest Dreamliner jet. Secretary of State Rex Tillerson, trying to reassure allies that Washington is not tilting toward Moscow over the Syrian conflict, tells them the United States backs U.N. efforts for a political solution, officials say. After nearly a month in power, Trump has yet to unveil major legislation or publicly endorse bills from others, getting Republicans off to a slow start on sweeping reforms they promised on the campaign trail. Senate Majority Leader Mitch McConnell expects to move soon on legislation to repeal and replace Obamacare and also hopes for bipartisan support on an infrastructure investment program. The White House says there is no plan to utilize the National Guard to round up unauthorized immigrants after the Associated Report said a draft memo discussing that had been circulating within the administration for about two weeks.  The Supreme Court will decide three cases in the coming months that could help or hinder Trump’s efforts to increase border security and accelerate deportations.     The Senate approves Trump’s pick for the Environmental Protection Agency, despite objections of Democrats and green groups worried he will gut the agency, as the administration readies executive orders to ease regulation on drillers and miners. Trump is poised to tap Mike Dubke, a Republican media relations firm owner, to oversee White House communications, media reports say, in a move that could help shore up Trump’s messaging efforts. ",politicsNews,"February 17, 2017 "
Civil rights pioneer to eschew museum opening after Trump says will attend,"(Reuters) - Longtime U.S. congressman from Georgia John Lewis, who marched with Martin Luther King Jr. in the 1960s, said on Thursday that he would not attend the opening of the Mississippi Civil Rights Museum this weekend because President Donald Trump planned to attend. “President Trump’s attendance and his hurtful policies are an insult to the people portrayed in this civil rights museum,” Lewis said in a statement. The statement by the Georgia Democrat, who has served in Congress for 31 years, and Mississippi Democratic U.S. Representative Bennie Thompson mentioned Trump’s “disparaging comments about women, the disabled, immigrants, and National Football League players.” Trump said earlier this week that he would attend the opening of the museum in Jackson, the state capital.  The National Association for the Advancement of Colored People (NAACP) has denounced Trump’s planned attendance.  Lewis and Thompson said in their statement that Trump had  shown “disrespect” for people who fought for civil rights in Mississippi. White House Press Secretary Sarah Sanders, responding to the Lewis-Thompson statement, said, “We think it’s unfortunate that these members of Congress wouldn’t join the president in honoring the incredible sacrifice civil rights leaders made to right the injustices in our history. The President hopes others will join him in recognizing that the movement was about removing barriers and unifying Americans of all backgrounds.” ",politicsNews,"December 8, 2017 "
Bulgaria's parliament speaker resigns 'to avoid political upheaval',"SOFIA (Reuters) - Bulgaria s parliament speaker Dimitar Glavchev resigned on Friday in a move he said was to avoid political upheaval as the country prepares to take over the six-month rotating European Union presidency in January. The opposition Socialists had demanded Glavchev s resignation and said they would boycott parliament sessions until he stepped down after he banned their leader, Kornelia Ninova, from the chamber over what he called offences to deputies and members of the government on Wednesday. Glavchev, who described his resignation as  a moral act , said it was his intention to restore calm in the parliament and not cast a shadow over Bulgaria s EU presidency.  I have always said that the state and its stability are more important than anything,  said Prime Minister Boyko Borissov. Parliament voted to appoint Tsveta Karayancheva, a senior member of the ruling center-right GERB party, to replace Glavchev.   Glavchev made a mistake, but his resignation is just a preventative measure and it will not lead to a parliamentary crisis or the fall of the government,  Daniel Smilov, an analyst with Bulgaria s Centre for Liberal Strategies, told Reuters.  GERB is trying not to complicate the situation.  The center-right GERB, led by Borissov, returned to power for a third term since 2009 after a snap election in March. His coalition government has a one-seat majority but is also supported by a small populist party. ",worldnews,"November 17, 2017 "
Obama claims victory after drop in U.S. jobless rate,"WASHINGTON (Reuters) - President Barack Obama said Americans should feel good about the economy after the latest jobs report on Friday showed the U.S. unemployment rate at an eight-year low of 4.9 percent. Obama, in his eighth and final year in office, made a relatively rare and unexpected appearance in the White House briefing room to talk about how the economy had recovered under his watch. “We have recovered from the worst economic crisis since the 1930s, the worst in my lifetime and the lifetime of most of the people in this room,” Obama said, noting the unemployment rate was 10 percent in 2009, when he took office. “We’ve done it faster, stronger, better, more durably than just about any other advanced economy,” Obama said. The White House has griped that Obama does not get enough credit for turning the economy around, a complaint Obama joked about on Thursday during a visit from the Golden State Warriors basketball champions. “You defied the cynics, you accomplished big things, you racked up a great record, and you don’t get enough credit - I can’t imagine how that feels,” Obama said, drawing laughter. On Friday, he acknowledged that “there’s still anxiety and concern about the general direction of the economy,” noting the job losses, stock market plunges and free fall in the housing market in 2007-2008 were still fresh in Americans’ memories. Obama said “softness” in China, Europe and other economies presented challenges to U.S. exporters and he said it was important for the United States to “keep our foot to the accelerator” to further strengthen the economy. “We should feel good about the progress we’ve made, understanding that we have still got more work to do,” he said, noting the budget he will propose to Congress on Tuesday will have ideas for job creation and retraining. Obama slammed Republican candidates in the race to replace him in the Nov. 8 presidential election for “talking down” the economy. “I know that’s still inconvenient for Republican stump speeches as their doom-and-despair tour plays in New Hampshire,” Obama said, referring to the primary election in the state on Tuesday. ",politicsNews,"February 5, 2016 "
